date,whale_id,ticker,name,position_type,shares,cost_price,market_price,cost_basis,market_value,unrealized_pnl,pnl_pct
2026-09-17,高大戶,2303,聯電,股票期貨,176000,140.80,142.40,24780800,25062400,281600,1.14
2026-09-17,高大戶,2454,聯發科,股票期貨,5000,4676.10,4618.05,23380500,23090250,-290250,-1.24
2026-09-17,高大戶,6182,合晶,股票期貨,180000,95.08,103.54,17114400,18637200,1522800,8.90
2026-09-17,高大戶,2330,台積電,股票期貨,3500,2390.48,2395.74,8366680,8385090,18410,0.22
2026-09-17,高大戶,3653,健策,股票期貨,1500,6479.98,5869.99,9719970,8804985,-914985,-9.41
2026-09-17,高大戶,8046,南電,股票期貨,6000,1006.98,1061.49,6041880,6368940,327060,5.41
2026-09-17,高大戶,6669,緯穎,股票期貨,3000,2120.46,2144.23,6361380,6432690,71310,1.12
2026-09-17,高大戶,8039,台虹,股票期貨,16000,255.20,265.35,4083200,4245600,162400,3.98
2026-09-17,高大戶,3665,貿聯KY,股票期貨,2100,1925.58,1962.29,4043718,4120809,77091,1.91
2026-09-17,高大戶,3189,景碩,股票期貨,4000,789.06,806.03,3156240,3224120,67880,2.15
2026-09-17,高大戶,2455,全新,股票期貨,6000,522.58,519.29,3135480,3115740,-19740,-0.63
2026-09-17,高大戶,8358,金居,股票期貨,6000,479.02,494.51,2874120,2967060,92940,3.23
2026-09-17,高大戶,2388,威盛,股票期貨,36000,76.36,73.93,2748960,2661480,-87480,-3.18
2026-09-17,高大戶,6488,環球晶,股票期貨,2000,871.96,897.98,1743920,1795960,52040,2.98
2026-09-17,高大戶,5274,信驊,股票期貨,100,20760.00,19440.00,2076000,1944000,-132000,-6.36
2026-09-17,高大戶,2449,京元電,股票期貨,2000,261.80,262.90,523600,525800,2200,0.42
2026-09-18,安大戶,6696,仁新,估算(%),0,0,0,0,83800000,0,0
2026-09-18,安大戶,2454,聯發科,估算(%),0,0,0,0,85200000,0,0
2026-09-18,安大戶,3443,創意,估算(%),0,0,0,0,60400000,0,0
2026-09-18,安大戶,6870,騰雲,估算(%),0,0,0,0,15200000,0,0
2026-09-18,安大戶,6669,緯穎,估算(%),0,0,0,0,8200000,0,0
2026-09-18,安大戶,7926,中華立鼎,估算(%),0,0,0,0,7400000,0,0
2026-09-18,安大戶,BLTE,(Belite Bio),估算(%),0,0,0,0,4800000,0,0
2026-09-18,安大戶,2883,凱基金,估算(%),0,0,0,0,0,0,0
2026-09-18,安大戶,2887,台新新光金,估算(%),0,0,0,0,0,0,0
